runs,std,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,AIO1,AIO2,AIO3,AIO4,AIO5,AIO6,AIO7,AIO8,AIO9,AIO10,MP1,MP2,MP3,MP4,MP5,MP6,MP7,MP8,MP9,MP10
1,1408.83,1404.69,2015.74,1696.61,2046.63,1897.59,2070.27,2032.34,1990.65,1839.72,1945.65,1402.13,1403.03,1403.84,1403.20,1406.72,1408.47,1405.99,1408.14,1407.30,1405.59,1516.23,766.56,522.70,402.07,475.59,408.02,421.07,379.00,410.38,390.56
2,1453.42,1405.06,2051.65,1917.21,2076.34,2014.81,2101.55,2056.94,2072.35,1953.16,2089.00,1402.72,1404.50,1404.17,1404.76,1408.19,1408.75,1409.92,1408.39,1410.73,1405.85,1517.11,767.23,522.95,402.31,476.32,412.11,422.79,379.93,418.20,393.02
3,1408.01,1405.18,2100.43,1934.63,2083.95,2014.96,2112.30,2056.99,2089.52,1978.42,2089.76,1403.58,1405.20,1405.65,1404.96,1409.71,1408.79,1411.41,1416.16,1411.42,1406.21,1518.46,770.42,523.47,402.51,477.89,415.52,425.78,381.39,418.31,393.06
4,1405.52,1405.31,2115.70,1956.67,2097.84,2017.65,2117.72,2080.50,2116.44,2089.57,2100.73,1404.21,1406.66,1409.22,1405.78,1413.39,1410.26,1417.95,1421.14,1413.32,1406.33,1520.34,771.50,523.48,402.88,478.63,424.84,427.82,381.83,423.52,401.82
5,1439.75,1405.53,2133.93,1957.02,2104.22,2038.96,2121.15,2083.86,2126.60,2116.10,2101.19,1404.26,1408.84,1411.41,1406.05,1415.93,1421.75,1418.41,1432.03,1413.89,1407.30,1520.67,772.56,523.66,403.23,479.98,427.96,428.08,382.03,424.39,403.32
6,1406.68,1407.01,2135.35,1959.50,2110.58,2043.92,2136.53,2092.48,2128.67,2121.84,2107.77,1408.48,1412.36,1414.48,1407.28,1430.15,1438.79,1418.65,1444.19,1416.41,1412.26,1521.08,774.87,523.75,403.40,482.42,430.46,428.53,387.05,424.79,410.56
7,1431.33,1409.00,2156.53,1961.84,2125.01,2059.34,2142.29,2099.06,2136.49,2123.77,2119.76,1409.77,1412.53,1415.37,1407.33,1436.39,1442.87,1441.70,1444.51,1421.05,1412.98,1523.48,775.15,525.25,403.41,486.13,431.59,429.29,389.68,425.21,417.68
8,1434.79,1410.25,2158.49,1967.66,2129.05,2082.95,2153.11,2114.34,2148.46,2126.03,2135.93,1412.61,1413.79,1420.94,1408.05,1438.11,1444.27,1442.01,1445.42,1423.77,1414.81,1523.66,775.85,525.32,405.86,487.62,434.43,432.31,395.13,427.06,420.70
9,1622.38,1411.45,2164.55,1971.50,2145.96,2093.65,2167.29,2120.96,2154.01,2130.41,2138.09,1413.60,1420.54,1422.59,1408.89,1445.57,1445.79,1445.34,1446.89,1431.00,1419.85,1523.71,777.29,526.71,407.78,489.34,434.71,433.69,397.56,430.14,422.31
10,1440.05,1414.65,2170.85,1982.03,2146.38,2103.96,2170.90,2140.57,2155.21,2152.72,2144.58,1419.11,1420.74,1425.97,1412.51,1446.05,1446.20,1446.87,1450.37,1432.34,1422.27,1531.42,777.91,529.31,412.78,491.23,437.10,437.75,398.26,431.03,424.36
